#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs,Type
1,#9,Magic Hat Brewing Company,"South Burlington, VT",Fruit / Vegetable Beer,12 oz.,5.10%,20,Other
2,113 IPA,Sly Fox Brewing Company,"Phoenixville, PA",American IPA,12 oz.,7%,113,IPA
3,11th Hour IPA,Crow Peak Brewing Company,"Spearfish, SD",American IPA,12 oz.,6%,N/A,IPA
4,1327 Pod's ESB,Blue Blood Brewing Company,"Lincoln, NE",Extra Special / Strong Bitter (ESB),12 oz.,5.60%,37,Other
5,1327 Pod's ESB,Blue Blood Brewing Company,"Lincoln, NE",Extra Special / Strong Bitter (ESB),12 oz.,5.60%,37,Other
6,1327 Pod's ESB,Blue Blood Brewing Company,"Lincoln, NE",Extra Special / Strong Bitter (ESB),12 oz.,5.60%,37,Other
7,1335 Wicked Snout,Blue Blood Brewing Company,"Lincoln, NE",Saison / Farmhouse Ale,12 oz.,6.40%,N/A,Ale
8,15th Anniversary Abbey Ale (2012),Oskar Blues Brewery,"Longmont, CO",Belgian Dark Ale,16 oz.,9%,N/A,Ale
9,1811 Lager,Fort George Brewery,"Astoria, OR",American Amber / Red Lager,16 oz.,5.10%,N/A,Lager
10,1881 California Red Ale,Ruhstaller Beer Company,"Sacramento, CA",American Amber / Red Ale,16 oz.,5.60%,35,Ale
11,2012 Black Ale,Stevens Point Brewery,"Stevens Point, WI",American Brown Ale,12 oz.,5.40%,32,Ale
12,21st Amendment IPA (2006),21st Amendment Brewery,"San Francisco, CA",American IPA,12 oz.,7%,70,IPA
13,21st Amendment Watermelon Wheat Beer (2006),21st Amendment Brewery,"San Francisco, CA",Fruit / Vegetable Beer,12 oz.,4.90%,17,Other
14,3 Gear Robust Porter,Tin Man Brewing Company,"Evansville, IN",American Porter,16 oz.,5.20%,50,Other
15,3 Picket Porter,Crooked Fence Brewing Company,"Garden City, ID",American Porter,12 oz.,5.50%,N/A,Other
16,312 Urban Wheat Ale,Goose Island Brewing Company,"Chicago, IL",American Pale Wheat Ale,12 oz.,4.20%,20,Ale
17,33 Select Brown Ale,Okoboji Brewing Company,"Spirit Lake, IA",American Brown Ale,16 oz.,6.50%,26,Ale
18,3Beans,Sixpoint Craft Ales,"Brooklyn, NY",Baltic Porter,12 oz.,10%,85,Other
19,40th Annual Bix Street Fest Copper Ale (Current),Great River Brewery,"Davenport, IA",American Amber / Red Ale,16 oz.,4.80%,25,Ale
20,413 Farmhouse Ale,Big Elm Brewing,"Sheffield, MA",Saison / Farmhouse Ale,12 oz.,6%,N/A,Ale
21,467 Ethan's Stout,Blue Blood Brewing Company,"Lincoln, NE",American Stout,12 oz.,5%,N/A,Stout
